Display Name,Formatted Address,Rating,User Rating Count,Open Now,Price Range,Serves Vegetarian Food
Mr. Singh’s Pizza Queen St,"4 McLaughlin Rd S, Brampton, ON L6Y 3B2, Canada",4.6,568,True,CAD 10-30,N/A
Pizza Pizza,"8975 Chinguacousy Rd, Brampton, ON L6Y 0J2, Canada",4.1,1096,True,CAD 10-30,True
Lazeez Shawarma,"8982 Chinguacousy Rd Unit #4, Brampton, ON L6Y 5X6, Canada",4.3,4327,True,CAD 10-20,True
Keenan's Irish Pub,"550 Queen St W, Brampton, ON L6X 3E1, Canada",4.3,858,True,CAD 20-30,N/A
Magnums Bar and Eatery,"21 McMurchy Ave N, Brampton, ON L6X 1X4, Canada",4.3,798,True,N/A,N/A
RD's BBQ,"71 Rosedale Ave W Unit 5, Brampton, ON L6X 1K5, Canada",4.4,1179,True,CAD 20-30,N/A
Gillz Sweet Factory,"8975 Chinguacousy Rd, Brampton, ON L6Y 0B7, Canada",3.9,268,True,CAD 10-20,True
Eggsmart,"345 Queen St W, Brampton, ON L6Y 3A9, Canada",4.2,901,False,CAD 10-20,True
Pizza2Go,"8990 Chinguacousy Rd, Brampton, ON L6Y 5X6, Canada",4.2,479,True,CAD 10-20,True
Chaat Ter Box Resturant Brampton(Express)- Best Premium Live Pani Puri In Canada,"71 Main St N, Brampton, ON L6X 1M8, Canada",4.8,872,True,CAD 10-20,N/A
Delhi Momos - Downtown Brampton,"1 McArter Lane, Brampton, ON L6X 1R2, Canada",4.8,4319,True,CAD 10-20,True
Desi Khuraak Brampton,"119 Queen St W, Brampton, ON L6Y 2E4, Canada",4.8,468,True,CAD 10-20,N/A
Tadka King Sweets & Restaurant,"Free Parking @ Nelson Square Parking, 35 Main St N, Brampton, ON L6X 1M8, Canada",4.5,3512,True,N/A,True
Delhi Hub Restaurant and Catering (Brampton),"184-D Main St S, Brampton, ON L6W 2E2, Canada",4,1783,True,CAD 10-20,True
Qawali | Indian Restaurant & Banquet,"21 George St N, Brampton, ON L6X 1R3, Canada",4.8,1733,True,N/A,True
Blackstone Steakhouse and Grill,"31 George St N, Brampton, ON L6X 1R3, Canada",4.4,2356,True,N/A,True
7-Eleven,"@ Church, 150 Main St N, Brampton, ON L6V 1N9, Canada",2.7,127,True,N/A,N/A
Grillies ( Brampton - Queen Street ),"48 Queen St W, Brampton, ON L6X 1R2, Canada",4.6,431,True,CAD 10-20,N/A
Saroor | Fine Dine and Bar,"15 Main St N, Brampton, ON L6X 1M8, Canada",4.7,1175,False,CAD 100-,True
9 Queen Chinese | 皇后玖號,"9 Queen St E, Brampton, ON L6W 3P1, Canada",4,757,True,CAD 10-30,True
Sushi House Japanese Restaurant,"135 Main St N, Brampton, ON L6X 1M9, Canada",4.5,1130,True,CAD 20-30,True
Rajdhani Indian Sweets & Restaurant (Chinguacousy),"811 Bovaird Dr W Unit 19-20, Brampton, ON L6X 0T9, Canada",4.5,15217,True,CAD 10-30,True
Sabzi Market,"10 Lormel Gate Unit # 5, Brampton, ON L7A 2K7, Canada",3.5,419,True,N/A,N/A
Desi Road - Fletchers Creek,"185 Fletchers Creek Blvd #1, Brampton, ON L6X 0Y7, Canada",4.5,5211,True,N/A,True
Sanjhi Rasoi,"1 Regan Rd Unit 19, Brampton, ON L7A 1B8, Canada",3.8,1300,True,N/A,True
Mr. Singh's Pizza Bovaird,"185 Fletchers Creek Blvd #2, Brampton, ON L6X 0Y7, Canada",4.4,1400,True,CAD 10-30,True
7 Spice Bistro – Authentic Indian Restaurant | Hakka Cuisine | Catering service | Food Truck Catering Brampton,"30 Gillingham Dr, Brampton, ON L6X 4P8, Canada",4.6,2914,True,N/A,True
Mandarin Restaurant,"165 Fletchers Creek Blvd, Brampton, ON L6X 0Y7, Canada",4.6,5174,False,CAD 30-50,N/A
Varalakshmi Vegetarian Takeout & Catering,"965 Bovaird Dr W Unit 14, Brampton, ON L6X 0G3, Canada",4.6,1293,True,CAD 1-10,True
Wendy's,"10041 McLaughlin Rd, Brampton, ON L7A 2X5, Canada",3.9,1402,True,CAD 10-20,True
Burger King,"195 Fletchers Creek Blvd, Brampton, ON L6X 0Y7, Canada",4,1507,True,CAD 10-20,True
Pizza Fiamma McLaughlin Rd,"10061 McLaughlin Rd N, Brampton, ON L7A 2X5, Canada",3.1,1475,True,N/A,N/A
Tim Hortons,"10041 McLaughlin Rd, Brampton, ON L7A 2X5, Canada",3.5,602,True,CAD 1-10,True
Shake & Grill | Indian Restaurant,"965 Bovaird Dr W #4, Brampton, ON L6X 5K7, Canada",4.4,1540,True,CAD 10-30,True
Prem Sweets & Restaurant,"20 Gillingham Dr Unit #607, Brampton, ON L6X 4X7, Canada",3.7,1173,True,CAD 10-20,True
Pizza Hut,"10088 McLaughlin Rd #12, Brampton, ON L7A 2X6, Canada",4.3,2145,True,CAD 10-30,True
Paan Hut,"831 Bovaird Dr W, Brampton, ON L6X 0G3, Canada",4,514,True,CAD 10-20,N/A
MR. JOHN'S Real Kerala Kitchen - Brampton,"370 Main St N, Brampton, ON L6V 4A4, Canada",4.4,1766,True,N/A,True
Tim Hortons,"330 Main St N, Brampton, ON L6V 1P6, Canada",3.6,1392,True,CAD 1-10,True
Railway Chai and Snack House,"10 Gillingham Dr Unit 113, Brampton, ON L6X 0G6, Canada",4.6,4081,True,CAD 10-20,True
Desi Bar & Grill (Brampton)- Indian food done right!,"341 Main St N, Brampton, ON L6X 1N5, Canada",4.8,12098,False,N/A,True
Street Chaat Best Indian Street Food Restaurant In Brampton,"332 Main St N #3, Brampton, ON L6V 1P8, Canada",4.8,3886,True,CAD 10-20,True
McDonald's,"Kingspoint Plaza, 372 Main St N, Brampton, ON L6V 4A4, Canada",3.2,2551,True,CAD 10-20,N/A
Punjabi Chaap (Main & Vodden),"320 Main St N, Brampton, ON L6V 4A3, Canada",4.2,1582,True,CAD 10-20,True
A&W Canada,"120 Brickyard Way, Brampton, ON L6V 4N1, Canada",4.3,3081,True,CAD 10-20,N/A
Holy Shakes Brampton West,"20 Gillingham Dr #701, Brampton, ON L6X 0G6, Canada",4.5,4176,True,CAD 10-20,N/A
Dosa Den,"10 Gillingham Dr Unit #104 Floor 1, Brampton, ON L6X 5A5, Canada",4.5,1386,True,CAD 10-20,True
Shawarma Queens,"10 Gillingham Dr #105, Brampton, ON L6X 0G6, Canada",4.7,679,True,CAD 10-20,N/A
Popeyes Louisiana Kitchen,"320 Main Street N, Main Street unit 8 A/k/a, Brampton, ON L6V 4A4, Canada",4.7,2683,True,CAD 10-20,False
Wendy's,"353 Main St N, Brampton, ON L6X 1N6, Canada",3.9,1132,True,CAD 10-20,True
Domino's Pizza,"370 Main St N, Brampton, ON L6V 4A4, Canada",4.3,1756,True,CAD 10-20,N/A
Tahini's,"370 Main St N UNIT 25B, Brampton, ON L6V 4A4, Canada",4.4,1400,True,CAD 10-20,True
Harvey's,"320 Main St N, Brampton, ON L6V 4A3, Canada",4.6,1891,True,N/A,True
Tim Hortons,"Peel Memorial Centre, 20 Lynch St, Brampton, ON L6W 2Z8, Canada",3.7,318,False,N/A,True
BADSHAH BAR & INDIAN CUISINE,"238 Queen St E, Brampton, ON L6V 1B8, Canada",4.8,2814,True,CAD 100-,True
Gentlemen Chai & Snacks,"47 Kennedy Rd N Unit 11, Brampton, ON L6V 1X6, Canada",4,1562,True,CAD 10-20,True
Chuck’s Roadhouse Bar & Grill,"2 Kennedy Rd S, Brampton, ON L6W 2B6, Canada",3.7,2414,True,CAD 10-30,True
Tim Hortons,"225 Vodden St E, Brampton, ON L6V 4M1, Canada",3.3,1075,True,CAD 1-10,True
Sardar Ji,"170 Bovaird Dr W unit 16, Brampton, ON L7A 1A1, Canada",4.4,9078,True,N/A,True
Annalakshmi Hwy10 - South Indian Vegetarian Restaurant,"10086 Hurontario St #3, Brampton, ON L7A 1E5, Canada",4.1,4965,False,CAD 10-20,True
Tim Hortons,"675 Main St N, Brampton, ON L6V 1A1, Canada",3.6,1584,True,CAD 1-10,True
Nando's PERi-PERi,"10015 Hurontario St Unit #1, Building D, Brampton, ON L6Z 0E5, Canada",4.3,4794,True,CAD 10-30,True
Wah G Wah,"205 Van Kirk Dr Unit-9, Brampton, ON L7A 3V4, Canada",4.6,737,True,CAD 10-20,N/A
Kelseys Original Roadhouse,"70 Quarry Edge Dr, Brampton, ON L6V 4K2, Canada",4.6,4707,True,N/A,True
Brocode Era,"1 Wexford Rd #1, Brampton, ON L6Z 2W1, Canada",4.8,1046,True,CAD 10-20,N/A
Burrito Boyz,"10069 Hurontario St #4, Brampton, ON L6Z 0A9, Canada",4.6,1959,True,CAD 10-20,True
McDonald's,"50 Quarry Edge Dr, Brampton, ON L6Z 4K2, Canada",3.8,1764,True,CAD 10-20,True
Dhaba Express,"380 Bovaird Dr E #7, Brampton, ON L6Z 2S9, Canada",3.2,1355,True,CAD 10-20,True
Wah G Wah,"220 Wexford Rd #1B, Brampton, ON L6Z 4N7, Canada",4.7,3582,True,CAD 10-20,True
The Keg Steakhouse + Bar - Brampton,"70 Gillingham Dr, Brampton, ON L6X 0G6, Canada",4.4,2068,True,N/A,True
Pizza Point,"380 Bovaird Dr E #9, Brampton, ON L6Z 2S7, Canada",4.4,1812,True,CAD 10-30,True
Five Guys,"66 Quarry Edge Dr, Brampton, ON L6V 4K2, Canada",4.3,1150,True,CAD 10-20,N/A
Pho Peter Restaurant,"65 Kennedy Rd N, Brampton, ON L6V 1X6, Canada",4.4,940,True,CAD 10-20,True
Swiss Chalet,"370 Bovaird Dr E, Brampton, ON L6Z 2S8, Canada",4.2,1614,True,N/A,True
Pizza Pizza,"320 Main St N Unit 2, Brampton, ON L6V 4A3, Canada",4.4,1575,True,CAD 10-20,True
Petro-Canada,"121 Kennedy Rd N, Brampton, ON L6V 1X7, Canada",3.8,132,True,N/A,N/A
Churrasqueira Nova Esperanca,"110 Brickyard Way #2, Brampton, ON L6V 4L9, Canada",4.6,842,True,CAD 10-20,N/A
A&W Canada,"121 Kennedy Rd N, Brampton, ON L6V 1M9, Canada",4.4,158,True,CAD 10-20,N/A
Souperlicious,"380 Bovaird Dr E, Brampton, ON L6Z 2S6, Canada",3.9,484,True,CAD 10-20,N/A
